name,team,time
Henry Sharp,Regina Cougars,27:14.00
Josh Varley,Dalhousie Tigers,27:15.00
Jonah Leppelmann,Manitoba Bisons,27:15.00
Adam Blazino,Lakehead Thunderwolves,27:16.00
Bennett Friesen,Saskatchewan Huskies,27:17.00
Oliver Tagalog,Toronto Varsity Blues,27:17.00
Jack Langille,Dalhousie Tigers,27:18.00
Josshua Pierrot,Université du Québec à Montréal Les Citadins,27:20.00
Jack Heintz,TMU Bold,27:20.00
Hudson Mcmillan,Lakehead Thunderwolves,27:23.00
Brandon Cidade,Toronto Varsity Blues,27:27.00
Adam Kleinsmith,Windsor Lancers,27:30.00
Alex Colsell,Montréal Carabins,27:33.00
Jack Screen,Victoria Vikes,27:34.00
Samuel May,UBC Thunderbirds,27:39.00
Leolo Rochefort,Montréal Carabins,27:41.00
Joseph Deslandes,UQAC Inuk,27:53.00
Elijah Ford,St. Mary's Huskies,27:53.00
Pascal Leblanc,Moncton Aigles Bleu,27:57.00
Draycen Ralph,Manitoba Bisons,28:04.00
Trent Wilson,Lakehead Thunderwolves,28:07.00
Christophe Poliquin,Université du Québec à Trois-Rivières Les Patriote,28:11.00
Yann Hubert,UQAC Inuk,28:12.00
Julien Deschatelets,École de technologie supérieure,28:14.00
Gabriel Gagnon,Université du Québec à Montréal Les Citadins,28:14.00
Gabriel Jacques,Université du Québec à Trois-Rivières Les Patriote,28:19.00
Hubert Troli,Université du Québec à Montréal Les Citadins,28:23.00
Jacob Arsenault,École de technologie supérieure,28:24.00
Thibault Gestin,École de technologie supérieure,28:28.00
Julien Thibodeau,Moncton Aigles Bleu,28:31.00
Simon Bouchard,UQAC Inuk,28:38.00
Julien Groulx,École de technologie supérieure,28:40.00
Leopold Chec,UQAC Inuk,28:44.00
Timothee Courtois,École de technologie supérieure,28:51.00
Zachary Demers,UQAC Inuk,28:55.00
Axel Piasecki,UQAC Inuk,29:17.00
