name,time,team
Turner Woodroff,35:08.4,UBCO Heat
Scott Kohlman,35:08.4,MacEwan Griffins
Zack Savlov,35:13.2,Wilfrid Laurier Golden Hawks
Brendan Masters,35:21.2,Wilfrid Laurier Golden Hawks
Troy Morgan,35:21.8,Thompson Rivers Wolfpack
Matthew Johnson,35:27.4,Regina Cougars
Alexandre Fishbein-Ouimette,35:30.4,Laurentian Voyageurs
Jeremie Roy,35:30.5,Sherbrooke Vert & Or
Patrick Marlow,35:34.8,St. F X
Quinn Legare,35:37.7,Regina Cougars
Owen Harris,35:41.8,UBCO Heat
Alexander McBride,35:52.5,Regina Cougars
Paul Ramsey-Vejlens,35:53.9,Montréal Carabins
Joe Stewart,35:57.7,St. Mary's Huskies
Isaac Wadhwani,36:06.9,Trinity Western Spartans
Guillaume Bertrand,36:07.7,Sherbrooke Vert & Or
Christopher Govig,36:13.1,Montréal Carabins
Calum Carrigan,36:14.0,Thompson Rivers Wolfpack
Felix Lafortune-Cazale,36:16.1,Université du Québec à Montréal Les Citadins
Nathanael Fehringer,36:20.5,Trinity Western Spartans
Oscar Chappe,36:37.9,Montréal Carabins
Michael Charanduk,36:42.4,Wilfrid Laurier Golden Hawks
Owen Guenette,36:51.6,MacEwan Griffins
Rahil Kachalia,36:58.4,Wilfrid Laurier Golden Hawks
Michael Wood,37:13.7,Manitoba Bisons
Gabriel Moreau,37:22.3,Montréal Carabins
Flix Leblanc,37:33.2,Montréal Carabins
Jarod Milford,37:50.4,Laurentian Voyageurs
Philibert Dumontier-Mnard,37:54.2,Montréal Carabins
Victor Rousteau,38:08.7,Université du Québec à Montréal Les Citadins
Luc Gallant,38:09.4,St. F X
Julien Larose,38:34.4,Université du Québec à Montréal Les Citadins
Jerome Cassan,39:27.7,Université du Québec à Montréal Les Citadins
