name,time,team
Ross Proudfoot,33:47.2,Guelph Gryphons
Tristan Woodfine,33:54.8,Guelph Gryphons
Charles Philibert-Thiboutot,34:04.2,Laval Rouge et Or
Dylan Brown,34:06.8,Lakehead Thunderwolves
Yves Sikubwabo,34:06.9,Guelph Gryphons
Aaron Hendrikx,34:08.8,Guelph Gryphons
Ryan Cassidy,34:10.0,Victoria Vikes
Matt Johnson,34:19.1,Regina Cougars
Joel Deshiffart,34:25.8,Trinity Western Spartans
Alex Wilkie,34:29.4,Queen's Gaels
Olivier Collin,34:30.7,Victoria Vikes
Matt McNeil,34:32.3,Dalhousie Tigers
Christian Gravel,34:57.2,Guelph Gryphons
Alexandre Ricard,35:02.4,Laval Rouge et Or
Thomas Riva,35:10.4,Victoria Vikes
Corey Bellemore,35:10.6,Windsor Lancers
Declan White,35:12.7,Trinity Western Spartans
Roman Justinen,35:15.7,Calgary Dinos
Russell Pennock,35:18.7,Calgary Dinos
Stéphan St-Martin,35:19.0,Université du Québec à Trois-Rivières Les Patriote
Kevin Tree,35:20.0,Lakehead Thunderwolves
Luke Charbonneau,35:20.2,McMaster Marauders
David Meloche,35:20.4,Windsor Lancers
Matthew Travaglini,36:20.8,Windsor Lancers
Kevin Blackney,36:21.3,Western Mustangs
William Madsen,35:23.3,Alberta Golden Bears
Gabriel Ghiglione,35:23.6,McMaster Marauders
Austen Forbes,35:246,McMaster Marauders
Eric Wynands,35:24.9,Queen's Gaels
Scott Donald,35:27.2,St. F X
Gareth Hadfield,36:28.9,Calgary Dinos
Adam Strueby,35:33.6,Regina Cougars
Dany Racine,35:33.9,Laval Rouge et Or
Blair Morgan,35:37.4,McMaster Marauders
Blair Johnson,35:37.7,Trinity Western Spartans
Jackson Bocksnick,36:38.1,Victoria Vikes
Mason Quarrell,35:41.7,Lakehead Thunderwolves
Cole Peterson,35:43.2,Victoria Vikes
Ben Weir,35:46.0,Victoria Vikes
Benjamin Raymond,35:46.1,Laval Rouge et Or
Dominique Aulagnon,35:47.1,Lakehead Thunderwolves
Taylor Forbes,35:50.0,McMaster Marauders
Bryden Tate,35:52.5,St. F X
Nick Wood,36:53.2,Dalhousie Tigers
Jordan Collison,35:56.0,Windsor Lancers
Paul Janikowski,36:01.0,Windsor Lancers
Gabriel Legault,36:02.5,Laval Rouge et Or
Lee Wesselius,36:03.1,St. F X
Ryan Grieco,36:04.2,Calgary Dinos
Robert Bigsby,36:04.5,Saskatchewan Huskies
Riley Johnston,36:05.6,St. F X
Connor Darlington,36:06.4,McMaster Marauders
Mihai Prajea,36:06.8,Trinity Western Spartans
Brandon Thomas,36:07.2,Queen's Gaels
Cody Therrien,36:10.7,Victoria Vikes
Chris Dulhanty,36:17.8,Guelph Gryphons
Tyler White,36:18.4,Lakehead Thunderwolves
Cal Dewolfe,36:19.3,St. F X
Nicolas Morin,36:19.7,Laval Rouge et Or
Thomas Miller,36:21.2,Manitoba Bisons
Alexander Ullman,36:21.3,Windsor Lancers
Taylor McArthur,36:25.7,Windsor Lancers
Matthias Mueller,36:31.1,Dalhousie Tigers
Connor McGuire,36:32.6,Lakehead Thunderwolves
Santiago Bessai,36:36.7,McGill Redmen
Phil Parrot-Migas,36:37.1,Western Mustangs
John Kuto,36:41.7,St. Mary's Huskies
Andrew Gordon,36:45.2,Guelph Gryphons
Matthew Hope,36:48.9,Alberta Golden Bears
Mark Schmidt,36:50.5,Queen's Gaels
Nick Favero,36:52.1,St. F X
Abduselam Yussuf,36:56.7,Manitoba Bisons
Aurélien Appriou,36:59.9,Université du Québec à Montréal Les Citadins
Caleb Dejong,37:10.9,Trinity Western Spartans
Daniel Heschuk,37:11.2,Manitoba Bisons
Shane Roberts,37:12.5,Western Mustangs
Timothy Miller,37:16.4,Manitoba Bisons
Kenny Groop,37:19.1,Western Mustangs
Alex James,37:20.8,Manitoba Bisons
Kurt Ebeling,37:22.3,Regina Cougars
Eric Macpherson,37:25.1,Calgary Dinos
Paul Rochus,37:265,Western Mustangs
Jordan Fewer,37:266,Memorial Sea-Hawks
Connor Boyd,37:28.7,Manitoba Bisons
Eric Thacher,37:29.3,Manitoba Bisons
Marc Turmel,37:33.0,Regina Cougars
Will Clack,37:33.9,Calgary Dinos
Liam Lees,37:35.3,Western Mustangs
Connor Bolton,37:37.0,Memorial Sea-Hawks
Roscoe Lord,37:38.0,MacEwan Griffins
Angus Macintosh,37:38.7,Dalhousie Tigers
Will Russell,37:42.7,Dalhousie Tigers
Michael Middlemiss,37:43.5,Regina Cougars
Gerasimos Angelatos,37:46.4,Queen's Gaels
Francois Jarry,37:48.5,McGill Redmen
Patrick Naylor,37:52.1,Manitoba Bisons
Benjamin Carson,38:00.3,Western Mustangs
Stuart Macpherson,38:07.4,St. F X
Adam Marshall,38:12.4,Trinity Western Spartans
Graeme Wach,38:15.3,Dalhousie Tigers
Taryn Heidecker,38:28.3,Saskatchewan Huskies
Tyler Dejong,38:52.0,Trinity Western Spartans
Reid Balezantis,38:56,Saskatchewan Huskies
Jaden Woodsparrow,38:56.5,Saskatchewan Huskies
Robbie Timmerman,39:01.4,Western Mustangs
Hayden Hollowell,39:12.5,Saskatchewan Huskies
Etienne Lavoie-Trudeau,39:27.17,Université du Québec à Montréal Les Citadins
Triphon Moodie,39:45.7,Western Mustangs
Eric Mueller,40:23.3,Saskatchewan Huskies
Sean Hooper,40:23.0,Regina Cougars
Adam Epp,40:25.05,MacEwan Griffins
Mark Hayward,40:34.5,Memorial Sea-Hawks
Evan Hall,41:34.3,Thompson Rivers Wolfpack
Kyle Dong,41:37.2,MacEwan Griffins
Brandon Toal,41:39.0,MacEwan Griffins
Alexandre Candau,41:49.0,Concordia Stingers
Michael Scott,41:57.3,Memorial Sea-Hawks
Christopher Lowe,42:40.2,Memorial Sea-Hawks
Daniel Conway,42:40.9,Memorial Sea-Hawks
Riley Kouwenhoven,43:53.5,Thompson Rivers Wolfpack
Ryan Pidhirniak,44:49.3,Thompson Rivers Wolfpack
Conlan Sprickerhoff,44:53.3,Thompson Rivers Wolfpack
Brian Harnett,45:36.55,Memorial Sea-Hawks
Pablo Ulloa,45:45.5,Regina Cougars
