name,time,team
Sasha Gollish,27:36.27,University of Toronto
Claire Sumner,27:45.95,Queen's University
Branna MacDougall,27:50.56,Queen's University
Regan Yee,27:54.95,Trinity Western University
Kristina Popadich,27:55.99,Western University
Lucia Stafford,28:17.29,University of Toronto
Aurelie Dube-Lavoie,28:21.52,Universite Laval
Melissa Jones,28:24.69,University of Calgary
Stef Smith,28:27.36,University of Windsor
Danielle Jossinet,28:47.01,University of Guelph
Courtney Hufsmith,28:52.88,University of Saskatchewan
Savanna Jordan,28:54.72,Dalhousie University
Meggie Dargis,28:58.47,McGill University
Alison Hooper,29:02.18,University of Victoria
Paula Findlay,29:07.85,University of Alberta
Chloe Hegland,29:14.37,University of Victoria
Jazz Shukla,29:17.95,University of Toronto
Valerie Belanger,29:22.23,Universite Laval
Sarah Wismer,29:26.77,University of Guelph
Jessy Lacourse,29:33.23,Universite Laval
Hannah Woodhouse,29:49.19,University of Guelph
Bettina Boucher,29:49.99,Wilfrid Laurier University
Melissa Caruso,29:54.31,McMaster University
Madeleine Kelly,29:57.04,University of Toronto
Elizabeth Hirsch,29:59.07,McGill University
Molly Steer,30:06.03,Queen's University
Emily Nowak,30:06.60,McMaster University
Christiana Agustin,30:09.87,University of Toronto
Emma Edmonds,30:13.27,University of Victoria
Jenna Van Vliet,30:16.71,Carleton University
Chloe Hewitt,30:18.38,University of Victoria
Taylor Sills,30:19.16,Queen's University
Hannah Leggatt,30:19.33,MacEwan University
Amy Stephenson,30:19.35,Queen's University
Anne-Marie Gauthier,30:19.53,Universite Laval
Sofia Butseva,30:19.78,McGill University
Celine Marks,30:22.90,McGill University
Catherine Gagne,30:24.28,Universite Laval
Jouen Chang,30:25.68,Trinity Western University
Gabrielle Desharnais-Pref,30:27.52,Sherbrooke
Emma Bibault,30:27.96,University of Victoria
Mikaela Smart,30:30.06,Trinity Western University
Erin Mawhinney,30:31.52,McMaster University
Anushree Patel,30:32.10,University of Alberta
Michelle Reddy,30:33.56,Dalhousie University
Emma Dagenais,30:34.05,Sherbrooke
Dana Earhart,30:36.64,University of Guelph
Rachel Faulds,30:37.96,McMaster University
Jenny Bottomley,30:39.20,Laurentian University
Joanna Williams,30:41.91,Trinity Western University
Rebekah Sass,30:42.31,University of Manitoba
Francesca Maltais,30:45.50,University of Guelph
Kathryn Chehowy,30:45.75,University of Calgary
Andie Wood,30:48.30,University of Victoria
Elisabeth Boutin,30:48.84,UQAM
Sandrine Veillette,30:53.36,McGill University
Rebekkah Pyle,30:54.36,Lakehead University
Alyssa Randall,30:55.06,University of Waterloo
Roxanne Skoreyko,30:55.85,MacEwan University
Carol-Ann MacDonald,30:55.94,Universite de Moncton
Megan Crocker,30:56.90,Laurentian University
Erin Snelgrove,30:57.20,McMaster University
Keili Shepherd,30:58.26,University of Ottawa
Georgia Ginther,30:58.42,University of Victoria
Stephanie Ryall,30:58.91,University of Waterloo
Nicole Martynuik-Pombert,30:59.08,University of Alberta
Juliette Maurin,31:00.63,Sherbrooke
Corinne Leclerc,31:01.45,Universite de Montreal
Katherine Marshall,31:01.92,University of Toronto
Julia Zrinyi,31:07.65,University of Manitoba
Jessica White,31:07.68,Western University
Lizzy Laurie,31:11.51,Wilfrid Laurier University
Meghan Manor,31:13.32,University of Calgary
Danae Keddie,31:14.06,University of Alberta
Shaylynn Tell,31:18.89,Dalhousie University
Liz MacDonald,31:20.28,St. Francis Xavier
Rachel MacDougall,31:26.13,St. Francis Xavier
Beatrice Ouellet,31:30.44,Universite Laval
Jade Watson,31:31.37,Queen's University
Veronique Bilodeau,31:32.19,Universite de Montreal
Isabelle Turcotte,31:34.57,Universite Laval
Heidi Tuszkiewicz,31:38.70,Laurentian University
