name,time,team
Sarah Inglis,19:49.9,Trinity Western Spartans
Gabriela Stafford,20:09.7,Toronto Varsity Blues
Stefanie Smith,20:25.4,Windsor Lancers
Emma Cook-Clarke,20:26.5,Calgary Dinos
Julie-Anne Staehli,20:27.5,Queen's Gaels
Katrina Allison,20:28.3,Guelph Gryphons
Lisa Brooking,20:32.4,Trinity Western Spartans
Katelyn Ayers,20:39.1,Guelph Gryphons
Claire Sumner,20:49.8,Queen's Gaels
Regan Yee,20:50.3,Trinity Western Spartans
Mirelle Martens,20:51.5,Trinity Western Spartans
Colleen Wilson,20:57.3,Dalhousie Tigers
Karissa Lepage,21:05.0,Alberta Pandas
Mathilde Sagnes,21:16.3,Montréal Carabins
Sophie Watts,21:18.1,Guelph Gryphons
Melanie Myrand,21:19.5,McGill Martlets
Sarah Wismer,21:19.8,Guelph Gryphons
Melissa Jones,21:21.3,Calgary Dinos
Ariana Dirk,21:21.4,Calgary Dinos
Danielle Jossinet,21:23.3,Guelph Gryphons
Allie Parks,21:24.3,Windsor Lancers
Chloe Hegland,21:27.7,Victoria Vikes
Cheryse Mitton,21:30.6,Guelph Gryphons
Charlotte Dunlap,21:32.0,Queen's Gaels
Sarah Macarthur,21:32.7,Calgary Dinos
Madeleine Kelly,21:34.7,Toronto Varsity Blues
Jullien Flynn,21:35.8,McGill Martlets
Rebekah Sass,21:36.8,Manitoba Bisons
Madeline McDonald,21:37.6,McMaster Marauders
Michelle Reddy,21:43.7,Dalhousie Tigers
Vanessa Trofimenkoff,21:45.1,MacEwan Griffins
Katie Wismer,21:56.3,Laurentian Voyageurs
Shauna McInnis,22:00.9,Victoria Vikes
Katie Phillips,22:01.4,Ottawa Gee-Gees
Emma Bibault,22:03.8,Victoria Vikes
Heather Petrick,22:07.1,Guelph Gryphons
Kristina Popadich,22:10.5,Western Mustangs
Chelsea Mackinnon,22:10.7,McMaster Marauders
Hannah Leggatt,22:13.0,MacEwan Griffins
