name,time,team
Mitchell Ubene,00:24:27.5,Guelph Gryphons
Thomas Fafard,00:24:28.6,Laval Rouge et Or
Jean-Simon Desgagnés,00:24:30.3,Laval Rouge et Or
Davies Andrew,00:24:38.9,McMaster Marauders
John Perrier,00:24:40.3,Guelph Gryphons
Thomas Nobbs,00:24:41.4,UBC Thunderbirds
Matthew Beaudet,00:24:47.5,McGill Redbirds
Eric Lutz,00:24:51.0,Calgary Dinos
Nicholas Bannon,00:24:53.4,Guelph Gryphons
Turek Max,00:24:56.7,McMaster Marauders
Jonathan Tedeschi,00:24:59.2,Laval Rouge et Or
Tyler Dozzi,00:25:07.0,UBC Thunderbirds
Mitchell Kirby,00:25:08.1,Queen's Gaels
Joshua Kozelj,00:25:12.4,UBC Thunderbirds
Mitch De Lange,00:25:13.5,Western Mustangs
Tyrrell Ryan,00:25:17.3,McMaster Marauders
Chris Taylor,00:25:20.6,Toronto Varsity Blues
Josh Zilles,00:25:20.8,Windsor Lancers
Marcel Scheele,00:25:22.1,Western Mustangs
Andrew Peverill,00:25:25.7,St. Mary's Huskies
Philippe Morneau-Cartier,00:25:27.1,Laval Rouge et Or
Drover Alex,00:25:30.3,McMaster Marauders
Kalum Delaney,00:25:30.7,Guelph Gryphons
Spencer Hardy,00:25:30.8,UBC Thunderbirds
Alexis Lepage,00:25:35.9,Laval Rouge et Or
David Girardin,00:25:37.1,Laval Rouge et Or
Nusselder Sam,00:25:38.8,McMaster Marauders
Riley Stuermer,00:25:43.0,Alberta Golden Bears
Adam Schmidt,00:25:43.0,Guelph Gryphons
Will Cox,00:25:43.7,Dalhousie Tigers
Tyler Kiyonaga,00:25:44.3,Calgary Dinos
Brandon Vail,00:25:45.0,Victoria Vikes
Gavin Hughes,00:25:45.1,Guelph Gryphons
Jacob Benoit,00:25:45.3,St. F X
Benjamin Workman,00:25:46.6,Alberta Golden Bears
Ethan Loucks,00:25:47.6,Western Mustangs
Robert Mitchell,00:25:48.0,Calgary Dinos
Henry Wellenstein,00:25:52.5,McGill Redbirds
Aidan Goslett,00:25:53.7,Dalhousie Tigers
Hudson Grimshaw-Surette,00:25:54.0,Dalhousie Tigers
Jack Boden,00:25:55.2,Victoria Vikes
Will Pidduck,00:25:56.0,Queen's Gaels
Miles Brackenbury,00:25:56.6,Queen's Gaels
Jake Hollinger,00:26:04.9,Queen's Gaels
Roman Mironov,00:26:07.0,Queen's Gaels
Daniel Damian,00:26:09.6,Victoria Vikes
Adam Clayton,00:26:11.6,Toronto Varsity Blues
Nick Robertson,00:26:13.0,Dalhousie Tigers
Thomas Laviolette,00:26:13.7,Montréal Carabins
Liam Dwyer,00:26:14.5,UBC Thunderbirds
Alec Purnell,00:26:15.2,Guelph Gryphons
Anthony Antaya,00:26:19.8,Saskatchewan Huskies
Kyle Koyanagi,00:26:21.5,Western Mustangs
ISAAC CULL,00:26:21.5,UNB Reds
Jude Wheeler-Dee-,00:26:22.3,Queen's Gaels
Will Cebuliak,00:26:22.8,Alberta Golden Bears
Logan Arthur,00:26:25.6,Alberta Golden Bears
Dilan Brar,00:26:26.0,Toronto Varsity Blues
Keon Wallingford,00:26:26.8,Laurentian Voyageurs
Robert Chauvet,00:26:27.1,Alberta Golden Bears
Adrian Fournier,00:26:27.1,Ottawa Gee-Gees
Connor Baerg,00:26:28.2,UBCO Heat
Pierre-Yves Normandin,00:26:29.7,Laval Rouge et Or
Ubene Evan,00:26:30.5,McMaster Marauders
Cassian Murray-White,00:26:30.9,Alberta Golden Bears
Tom Secheyron,00:26:30.9,McGill Redbirds
Sam Cumming,00:26:31.3,Western Mustangs
Paul Molinier,00:26:32.0,Sherbrooke Vert & Or
Daniel Rosen,00:26:34.0,Dalhousie Tigers
Treyton Pernitsky,00:26:34.6,Saskatchewan Huskies
Nando Baumann,00:26:35.9,Toronto Varsity Blues
Mark Royce,00:26:39.8,Western Mustangs
Chet Goerzen,00:26:40.0,Victoria Vikes
Jacob Wadhwani,00:26:41.3,UBC Thunderbirds
William Davalan,00:26:41.5,McGill Redbirds
Justin Kroeker,00:26:43.1,Manitoba Bisons
Gabe Van Hezewijk,00:26:44.2,Victoria Vikes
Jan Erik Naess,00:26:45.1,Calgary Dinos
Jason Ushko,00:26:47.4,Alberta Golden Bears
Jack Stanley,00:26:48.0,McGill Redbirds
Ben Miske,00:26:48.1,Queen's Gaels
Joshua Woolgar,00:26:52.6,Trinity Western Spartans
Jonah Brost,00:26:54.9,UBC Thunderbirds
Dylan Bauman,00:26:55.8,Saskatchewan Huskies
Zed Roy,00:27:00.5,Université du Québec à Montréal Les Citadins
Louis-Olivier Brassard,00:27:01.2,Montréal Carabins
Harmon Grimshaw-Surette,00:27:01.6,Dalhousie Tigers
CHANCE BLACKSTONE,00:27:01.9,UNB Reds
Luc Gallant,00:27:03.7,St. F X
Nima Ashtari,00:27:04.1,Toronto Varsity Blues
Alexander Webster,00:27:07.3,Saskatchewan Huskies
Adrien Jean-Pierre,00:27:08.9,Montréal Carabins
Noah El Rimawi-Fine,00:27:09.7,McGill Redbirds
David McNish,00:27:11.4,Calgary Dinos
Brandon Raftis,00:27:14.5,Toronto Varsity Blues
Jérémy Courchesne,00:27:15.9,Université du Québec à Trois-Rivières Les Patriote
Michael Wood,00:27:16.8,Manitoba Bisons
Benjamin Seshadri,00:27:18.7,Victoria Vikes
Anton Kuipers,00:27:19.0,Victoria Vikes
McGillivray Josh,00:27:20.4,McMaster Marauders
Ben Good,00:27:22.8,St. F X
Nick Cherenfant,00:27:31.6,Université du Québec à Montréal Les Citadins
Alec Freeman,00:27:32.1,Dalhousie Tigers
Calvin Reimer,00:27:32.1,Manitoba Bisons
Simon Visset,00:27:32.7,Montréal Carabins
Selim Gilon,00:27:33.4,Montréal Carabins
