name,time,team
Claire Sumner,21:09.3,Queen's Gaels
Emma Cook-Clarke,21:15.0,Calgary Dinos
Katelyn Ayers,21:23.1,Guelph Gryphons
Lisa Brooking,21:23.8,Trinity Western Spartans
Regan Yee,21:30.0,Trinity Western Spartans
Lucia Stafford,21:34.0,Toronto Varsity Blues
Kristina Popadich,21:35.6,Western Mustangs
Stef Smith,21:47.3,Windsor Lancers
Julie-Anne Staehli,21:47.4,Queen's Gaels
Heather Petrick,21:47.8,Guelph Gryphons
Colleen Wilson,22:10.0,Dalhousie Tigers
Katherine Lampard,22:19.1,Western Mustangs
Melanie Myrand,22:22.7,McGill Martlets
Melissa Jones,22:26.5,Calgary Dinos
Morgan Lawley,22:31.7,Alberta Pandas
Aur�lie Dub�-Lavoie,22:33.9,Laval Rouge et Or
Hannah Woodhouse,22:34.9,Guelph Gryphons
Madeleine Kelly,22:35.2,Toronto Varsity Blues
Amy Stephenson,22:37.6,Western Mustangs
Beatrice Gigagna,22:38.9,Queen's Gaels
Shannen Murray,22:38.9,Queen's Gaels
Sophia Watts,22:42.3,Guelph Gryphons
Danielle Jossinet,22:43.0,Guelph Gryphons
Hannah Leggatt,22:46.3,MacEwan Griffins
Katie Phillips,22:47.0,Ottawa Gee-Gees
Bettina Boucher,22:48.0,Wilfrid Laurier Golden Hawks
Katrina Allison,22:54.4,Guelph Gryphons
Chloe Hegland,22:56.1,Victoria Vikes
Meg Harradine,22:59.0,Trinity Western Spartans
Lindsay Kary,23:00.0,Queen's Gaels
Mirelle Martens,23:00.2,Trinity Western Spartans
Cheryse Mitton,23:00.4,Guelph Gryphons
Shayna Uhryn,23:01.3,Saskatchewan Huskies
Taylor Sills,23:08.7,Queen's Gaels
Courtney Brohart,23:09.2,Western Mustangs
Emily Nowak,23:10.9,McMaster Marauders
Christiana Agustin,23:11.9,Toronto Varsity Blues
Catherine Gagnon,23:12.0,Université du Québec à Montréal Les Citadins
Rachel Francois,23:12.3,Victoria Vikes
R�becca Beaumont,23:12.8,Montréal Carabins
Joanna Williams,23:13.2,Trinity Western Spartans
Charlotte Jacquemin,23:15.9,McGill Martlets
Sofia Butseva,23:21.2,McGill Martlets
Rachel Faulds,23:21.9,McMaster Marauders
Sarah Myatt,23:25.0,Dalhousie Tigers
Maddie Benjamin,23:26.1,McMaster Marauders
Brooke Mentanko,23:28.3,Saskatchewan Huskies
Georgia Hamilton,23:29.1,McGill Martlets
Sydney Hawkins,23:30.3,Windsor Lancers
Nicole Soderberg,23:33.6,Alberta Pandas
Mikaela Smart,23:34.9,Trinity Western Spartans
Danae Keddie,23:41.0,Alberta Pandas
Alissa Mousseau,23:43.6,Victoria Vikes
Abby Llewellyn,23:45.1,Dalhousie Tigers
Jenna MacDonald,23:46.5,Dalhousie Tigers
Hannah Ryan,23:48.2,Trinity Western Spartans
Rebekah Sass,23:50.4,Manitoba Bisons
Marissa Lobert,23:50.8,Laurentian Voyageurs
Marie-Andr�e Marchand,23:52.1,Montréal Carabins
Kaytlyn Criddle,23:53.4,Regina Cougars
Caitlin Vail,23:54.6,Alberta Pandas
Julia Zrinyi,23:56.8,Manitoba Bisons
Freya Hik,23:58.1,Alberta Pandas
Alison Head,23:58.5,McMaster Marauders
Charlotte Dunlap,23:59.0,Toronto Varsity Blues
Sarah Haliburton,23:59.0,McMaster Marauders
Mary MacDonald,23:59.7,St. F X
Gabrielle Desharnais-Pr�fontai,23:59.8,Sherbrooke Vert & Or
Jessica Baraskewich,23:59.9,Calgary Dinos
Chloe Hewitt,24:00.7,Victoria Vikes
Somerset Jarvis,24:04.4,Toronto Varsity Blues
Jenny Bottomley,24:04.9,Laurentian Voyageurs
Anushree Patel,24:05.6,Alberta Pandas
Mireille Turcotte,24:07.0,Sherbrooke Vert & Or
Jasmin Aggarwal,24:07.3,Toronto Varsity Blues
Andie Wood,24:07.8,Victoria Vikes
Stephanie Ryall,24:08.2,Waterloo Warriors
Janine Zajac,24:08.6,Manitoba Bisons
Rachel Lobay,24:09.4,Thompson Rivers Wolfpack
Meredith Leitch,24:09.7,Western Mustangs
Martine Parent,24:12.2,Montréal Carabins
Eartha Weber,24:12.2,Toronto Varsity Blues
Jessie Nusselder,24:13.9,Laurentian Voyageurs
Elizabeth MacDonald,24:15.1,St. F X
Catherine Gagn�,24:15.6,Laval Rouge et Or
Megan Crocker,24:16.6,Laurentian Voyageurs
Nicole Hessels,24:17.2,Laurentian Voyageurs
Maxine Gravina,24:17.7,McMaster Marauders
Marianne Leclerc,24:18.4,Montréal Carabins
Roxanne Skoreyko,24:19.2,MacEwan Griffins
Chanelle Gagne,24:20.6,MacEwan Griffins
Nicole Balzer,24:20.8,Manitoba Bisons
Erin Tramley,24:21.6,Manitoba Bisons
Chloe Fleurent-Gregoire,24:22.4,McGill Martlets
Ella Hnatyshyn,24:24.3,Calgary Dinos
Alicia Henry,24:24.5,Acadia
Kortney Watson,24:25.2,Western Mustangs
Elaura Martel,24:25.3,Sherbrooke Vert & Or
Isabelle Turcotte,24:27.6,Laval Rouge et Or
Rebecca Verlaan,24:27.8,Ryerson Rams
Jessie Lilly,24:28.3,Carleton Ravens
Kamylle Frenette,24:30.5,Moncton Aigles Bleu
Caroline Pomerleau,24:33.1,Laval Rouge et Or
Elizabeth Hirsch,24:34.6,McGill Martlets
Gabrielle Richard,24:36.0,Sherbrooke Vert & Or
Sarya Ross,24:36.9,Ottawa Gee-Gees
Shaylynn Tell,24:38.7,Dalhousie Tigers
Sydney Banister,24:39.8,Calgary Dinos
Melanie McKenna,24:41.6,Dalhousie Tigers
Carol-Ann MacDonald,24:42.0,Moncton Aigles Bleu
Nicole Rich,24:42.1,Laurentian Voyageurs
Erin Mawhinney,24:42.5,McMaster Marauders
Alexandra Varty,24:42.9,Waterloo Warriors
Lesley Koopman,24:43.3,Alberta Pandas
Zoe Johnston,24:43.4,St. F X
Kathleen Browne,24:44.6,Concordia Stingers
Rachel MacDougall,24:46.8,St. F X
Kate Anderson,24:49.1,Calgary Dinos
Shayna Quibell,24:51.2,Calgary Dinos
Marilou Ferland-Daigle,24:51.6,Laval Rouge et Or
Hana Marmura,24:52.5,St. F X
Isabelle Rouleau,24:52.8,Sherbrooke Vert & Or
No�mie Gravel,24:54.6,Montréal Carabins
V�ronique Bilodeau,24:55.7,Montréal Carabins
Michaela Walker,24:57.9,Dalhousie Tigers
Samantha McGuinness,25:00.0,Waterloo Warriors
Elena Savidge,25:01.9,Victoria Vikes
Juliette Maurin,25:04.6,Sherbrooke Vert & Or
Heidi Orhling,25:06.8,Queen's Gaels
Alison Barwick,25:07.1,McGill Martlets
Lizzie Laurie,25:07.9,Wilfrid Laurier Golden Hawks
Heidi MacDonald,25:08.5,St. F X
Klo� Gervais-P�pin,25:09.4,Université du Québec à Trois-Rivières Les Patriote
Chrissy Smith,25:09.5,Acadia
Audrey Laprise,25:11.3,Montréal Carabins
Katie Farmer,25:15.1,Saskatchewan Huskies
Kyra Ives,25:16.3,Saskatchewan Huskies
Chlo� Perreault,25:19.4,Laval Rouge et Or
Taylor Sprague,25:20.9,Manitoba Bisons
Breanne Steven,25:21.1,Laurentian Voyageurs
Mariana Longpr�,25:22.7,Laval Rouge et Or
Paige Chisholm,25:26.0,St. F X
Courtney Hufsmith,25:28.1,Saskatchewan Huskies
Samantha Fader,25:28.8,St. Mary's Huskies
Alyssa Randall,25:32.0,Waterloo Warriors
Kate Current,25:33.3,Western Mustangs
Charlotte Bernier,25:46.5,Université du Québec à Trois-Rivières Les Patriote
�milie Alain,25:54.2,Université du Québec à Trois-Rivières Les Patriote
Anna Cianni,25:55.4,Ryerson Rams
Emily Nichols,25:55.5,Waterloo Warriors
Sophie Dasaro,26:03.3,Concordia Stingers
Jaedyn Matsalla,26:22.8,Saskatchewan Huskies
Jenna Gascho,26:25.6,Wilfrid Laurier Golden Hawks
Carina De Sousa,26:26.5,Wilfrid Laurier Golden Hawks
Brittany Jackson,26:30.6,Concordia Stingers
Madeleine Villeneuve,26:36.5,Université du Québec à Trois-Rivières Les Patriote
Megan Doleweerd,26:39.5,Waterloo Warriors
Jessica Martin,26:41.1,Wilfrid Laurier Golden Hawks
Ellen Mead,26:46.6,Wilfrid Laurier Golden Hawks
Audrey Charrette,26:50.6,Université du Québec à Trois-Rivières Les Patriote
Emma Philippon,26:52.6,Université du Québec à Trois-Rivières Les Patriote
Marie-Pier Coulombe,26:56.1,Université du Québec à Trois-Rivières Les Patriote
Jessica Cuabu,27:07.4,Waterloo Warriors
Maissa Sabourin,27:15.5,MacEwan Griffins
Nikita Case,27:18.6,MacEwan Griffins
Marwa Ali,27:33.1,MacEwan Griffins
Lauren Kerker,28:33.4,Wilfrid Laurier Golden Hawks
