name,time,team,points
Angela Mozzon,32:49.7,Laurentian Voyageurs,
Ella Heinrich,32:51.0,Alberta Pandas,104
Lauren Perkins,32:52.1,Windsor Lancers,105
Naomi Reisdorf,32:58.9,Trinity Western Spartans,
Jardine Lam-Colling,32:59.4,Guelph Gryphons,106
Sarah Novakowski,33:02.0,Saskatchewan Huskies,107
Katherine Vuckovic,33:07.6,Toronto Varsity Blues,108
Marie-Ange Hebert,33:16.1,Sherbrooke Vert & Or,109
Elliot Symon,33:19.5,Waterloo Warriors,110
Lauren Macsai,33:22.5,Brock Badgers,111
Allison Novecosky,33:27.2,Saskatchewan Huskies,112
Nicole Schindler,33:31.5,Waterloo Warriors,113
Abbey Davis,33:38.5,Waterloo Warriors,114
Meg Mooney,33:38.6,Windsor Lancers,115
Madalene Gibson,33:46.8,Trinity Western Spartans,
Robyn Adamo,33:58.1,Brock Badgers,116
Veronica Furno-Puglia,34:10.3,Université du Québec à Montréal Les Citadins,117
Iva Balcheva,34:19.4,York Lions,118
Ava Sparkes,34:22.2,York Lions,119
Sophie Black,34:24.4,Moncton Aigles Bleu,
Meredith Kusniercyk,34:26.6,Laurentian Voyageurs,
Judith Lefebvre,34:39.2,Montréal Carabins,120
Cori Macsai,34:57.7,Brock Badgers,121
Giovvana De Oliveira,35:25.5,York Lions,122
Elizabeth Gay,35:45.3,Brock Badgers,123
Jacqueline Ming-Lafond,36:12.0,Université du Québec à Montréal Les Citadins,124
Dominique Gelinas,36:46.8,Université du Québec à Montréal Les Citadins,125
Teresa Muggeridge,37:08.3,York Lions,126
Sam Rajah,37:23.1,York Lions,127
