name,time,team
Patrick Deane,32:40.96,McMaster University
Kevin Robertson,32:47.73,Universite de Montreal
Tyler De Jong,32:49.71,Trinity Western University
John Christian MacGillivr,32:50.98,McMaster University
Paul MacLellan,32:54.68,St. Francis Xavier
Michael Pesce,32:56.95,University of Windsor
Nick D'Alessandro,33:03.55,University of Windsor
Daniel Heschuk,33:05.98,University of Manitoba
Joey Stel,33:07.54,Queen's University
Miles Matthews,33:14.93,University of Windsor
Joe Sheridan,33:18.00,Wilfrid Laurier University
Maxime Lopes,33:19.64,UQAM
Angus Brown,33:21.33,University of Victoria
Matthew Johnson,33:23.33,University of Regina
Greg Ord,33:23.55,University of Calgary
Jack Sheffar,33:24.25,Western University
Marc-Antoine Senneville,33:24.60,UQTR
Zach Frangos,33:25.22,University of Toronto
Mark Lawley,33:26.82,University of Alberta
Callum Drever,33:27.08,Dalhousie University
Adam Marshall,33:27.67,Trinity Western University
Matthew Noseworthy,33:30.10,University of Victoria
Alex Berhe,33:33.87,University of Ottawa
Carter Wood,33:35.10,Western University
Simon Berube,33:41.07,University of Manitoba
Ziyad El-Hankouri,33:42.17,University of Ottawa
Gregory Hetterley,33:45.59,University of Regina
Jesse Chen,33:46.38,University of Toronto
Will Russell,33:49.96,Dalhousie University
Santiago Bessai,33:50.18,McGill University
Graeme Wach,33:53.56,Dalhousie University
Jacob Rothera,33:53.83,University of Windsor
Samuel Kinahan,33:54.69,University of Toronto
Nicolas Gilbert,33:55.10,UQTR
Alex Hoerner,33:56.20,University of Waterloo
Patrique Bulloch,33:57.82,University of Manitoba
Deric Kornelson,33:57.99,University of Manitoba
Nick Wood,34:00.26,University of Toronto
Thomas De Vries,34:02.22,Western University
Riley Stuermer,34:02.62,University of Alberta
Dan Hilbers,34:03.45,Wilfrid Laurier University
Aaron Boyle,34:03.74,MacEwan University
Sandy Freeland,34:04.60,Wilfrid Laurier University
Mathieu Desmarais,34:05.93,University of Manitoba
Scott Kohlman,34:08.76,MacEwan University
James Cromack,34:09.29,Dalhousie University
Pier-Luc Roy,34:21.60,Universite de Montreal
Luke Hanson,34:22.41,University of Alberta
Liam Donnelly,34:22.94,Western University
Felix Lawson,34:25.97,University of Waterloo
Samuel Poher,34:26.21,Universite Laval
Ryan Heney,34:27.23,University of Waterloo
Michael Charanduk,34:29.54,Wilfrid Laurier University
Charles Khazoom,34:29.83,Sherbrooke
Angus Macintosh,34:33.23,Dalhousie University
Louis Bastenier-Boutin,34:34.21,Universite de Montreal
Mike Rogers,34:36.74,Dalhousie University
Jake Carroll,34:42.65,University of Toronto
Ian O'Donnell,34:44.43,University of Waterloo
Jonathan Peverill,34:45.26,Saint Mary's University
Joseph Hardy,34:53.38,Wilfrid Laurier University
Olivier Cyr,34:56.85,Universite de Montreal
Tony Kiprop,35:03.66,Thompson Rivers University
Isaiah Frielink,35:03.96,Western University
Quinn Legare,35:06.23,University of Regina
Alexander Bimm,35:08.19,University of Toronto
Troy Morgan,35:13.12,Thompson Rivers University
Robert Chauvet,35:16.00,University of Alberta
Nick Bedi,35:22.46,University of Waterloo
Brendan Masters,35:25.94,Wilfrid Laurier University
Louis-Olivier Brassard,35:31.28,Universite de Montreal
Connor Boyd,35:31.69,University of Manitoba
Rhys Desmond,35:45.67,University of Waterloo
Alexander McBride,35:54.74,University of Regina
Bryan Thomas,36:04.82,Universite de Moncton
Conlan Sprickerhoff,36:20.31,Thompson Rivers University
Jordan Gin,36:37.21,Trinity Western University
Jean-Michel Robichaud,36:52.39,Universite de Montreal
Chris Moore,37:04.06,University of Waterloo
Nik Rampen,37:04.21,Thompson Rivers University
