name,time,team
Yves Sikubwabo,31:14.54,Universite Laval
Connor Black,31:18.15,University of Guelph
Ben Carson,31:32.46,Western University
Russell Pennock,31:36.35,University of Calgary
Alexander James,31:37.41,University of Calgary
Dany Racine,31:40.32,Universite Laval
Eric Wynands,31:42.25,Queen's University
Sergio Raez Villanueva,31:43.42,McMaster University
Mark Patton,31:44.23,University of Guelph
Angus Rawling,31:45.21,St. Francis Xavier
Shawn Master,31:48.57,University of Windsor
Declan White,31:50.24,Trinity Western University
Andrew Nebel,31:50.66,University of Windsor
Stefan Daniel,31:51.67,University of Calgary
Andrew Shepherd,31:56.37,University of Guelph
Benjamin Workman,31:57.77,University of Guelph
Jean-Simon Desgagnes,31:59.70,Universite Laval
Braydon Clarke,31:59.93,University of Guelph
Joshua McGillivray,32:00.27,McMaster University
Max Turek,32:00.37,McMaster University
Brandon Vail,32:01.79,University of Victoria
Jeffrey Tweedle,32:03.34,McMaster University
Adam Strueby,32:03.42,University of Regina
Caleb De Jong,32:03.71,Trinity Western University
Jonathan Favero,32:04.74,McMaster University
Benjamin Weir,32:05.51,University of Victoria
Eric Lutz,32:05.55,University of Calgary
Alex Neuffer,32:08.30,St. Francis Xavier
Joe Kagumba,32:09.73,University of Windsor
Ryan Grieco,32:10.61,University of Calgary
Cal Dewolfe,32:11.35,Dalhousie University
Nicolas Morin,32:11.72,Universite Laval
Robert Lawand,32:12.09,University of Toronto
Mark Schmidt,32:14.60,Queen's University
Rob Kanko,32:15.61,Queen's University
Keven Bedard,32:15.94,Universite Laval
Alex Wilkie,32:16.76,Queen's University
Joshua Kozelj,32:18.07,University of Victoria
Lee Wesselius,32:18.37,University of PEI
Mitchell Ubene,32:19.50,University of Guelph
Francois Jarry,32:20.80,McGill University
Brett Crowley,32:21.39,Queen's University
Alexander Eiswerth,32:22.25,University of Regina
Kieran McDonald,32:23.02,University of Alberta
Jelmer Van Den Hadelkamp,32:24.44,Brock University
Marc Turmel,32:25.49,University of Regina
Andrew Peverill,32:27.30,Saint Mary's University
Levi Neufeld,32:29.74,Trinity Western University
Derrick Evans,32:32.44,University of Victoria
Evan Yarmuch,32:33.65,University of Calgary
Arthur Deloignon,32:33.81,Universite de Montreal
James Lam,32:34.94,Trinity Western University
Patrick Rouleau,32:35.71,Universite Laval
Mitchell Kirby,32:36.60,Queen's University
Abduselam Yussuf,32:37.16,University of Manitoba
Joshua Kellier,32:38.68,University of Guelph
Jonathan Toombs,32:38.90,University of Victoria
Royden Radowits,32:40.40,University of Alberta
