name,time,team
Andrew Batek,30:01.7,Waterloo Warriors
Michael Muravchik,30:02.8,York Lions
Toluwani Adebajo,30:06.9,York Lions
Payton Kettle,30:12.6,Trent Excalibur
Adam Edwards,31:08.1,Nipissing Lakers
Massimo Montanari,31:13.8,TMU Bold
Alan Wilkin,31:23.0,Laurentian Voyageurs
Oliver Czerny-Holownia,31:27.2,Nipissing Lakers
Arthur Fernandes,31:35.5,York Lions
George Legler,31:43.5,Nipissing Lakers
Will Squarek,31:44.3,Queen's Gaels
Wyatt Knockleby,31:52.3,Trent Excalibur
Fawwaz Khan,31:55.9,TMU Bold
Jack Lazear,32:38.4,Wilfrid Laurier Golden Hawks
Christian Barida,33:11.1,TMU Bold
Nolan Kenny,33:13.6,Nipissing Lakers
Will Greenfield,33:19.0,Western Mustangs
Caden Kuchera,33:42.2,York Lions
Alex Xiong,35:43.8,TMU Bold
Andre Capati,36:49.5,TMU Bold
Santiago La Noire Apaza,37:53.1,TMU Bold
Afnan Kabir,37:53.6,TMU Bold
Nicholas La Flamme,49:58.5,TMU Bold
Daniel Ogilvie,1:01:13.1,Western Mustangs
