name,team,time
Stefania Angona - R,UPEI Panthers,34:35
Claire Vernon-Pope,Waterloo Warriors,34:41
Taylor Long - R,Acadia,35:30
Ryann Handley,Saskatchewan Huskies,35:37
Elyse Czlayplay - R,Acadia,35:58
Gillian Porter - R,Queen's Gaels,36:06
Jenni Simpson - R,Acadia,36:12
Lauren Doyle - R,Acadia,36:18
Gael Cameron,St. Mary's Huskies,36:18
Annie Clarke - R,Moncton Aigles Bleu,36:46
Laurie Desjarlais,Sherbrooke Vert & Or,37:31
Jacqueline Moore - R,St. Mary's Huskies,37:33
Gabrielle Côté - R,Moncton Aigles Bleu,37:47
Amélie Cormier,Moncton Aigles Bleu,38:05
Myriam Cormier,Moncton Aigles Bleu,38:59
