name,time,team
Patrique Bulloch,33:00.2,Manitoba Bisons
Kevin Azocar,33:00.8,Queen's Gaels
Marc Turmel,33:02.2,Regina Cougars
Kyle Madden,33:03.8,Guelph Gryphons
Paul MacLellan,33:04.0,St. F X
Emile Brassard,33:04.8,Sherbrooke Vert & Or
Noah Defreyne,33:06.3,Toronto Varsity Blues
Christian (John MacGillivray,33:06.5,McMaster Marauders
Joe Sheridan,33:06.9,Wilfrid Laurier Golden Hawks
Paul Rochus,33:07.7,McMaster Marauders
Philipe Duchesne,33:13.0,McGill Redbirds
Cody Therrien,33:14.0,Victoria Vikes
Will Russell,33:16.9,Dalhousie Tigers
Maxime Lopes,33:17.2,Université du Québec à Montréal Les Citadins
Robert Bigsby,33:18.8,Saskatchewan Huskies
Nick Favero,33:18.9,St. F X
William Clack,33:20.7,Calgary Dinos
Miles Matthews,33:21.4,Windsor Lancers
Timothy Miller,33:22.3,Manitoba Bisons
Jeffery Thornber,33:25.0,Guelph Gryphons
Nicolas Roberts,33:26.8,Ottawa Gee-Gees
Matt Johnson,33:29.2,Regina Cougars
Jonathan Guidinger,33:30.1,Calgary Dinos
Tyler DeJong,33:31.1,Trinity Western Spartans
Jake Wing,33:32.5,Dalhousie Tigers
Marc-Antoine Senneville,33:32.9,Université du Québec à Trois-Rivières Les Patriote
Chet Goerzon,33:40.4,Victoria Vikes
Tristan Marcelis,33:41.4,McGill Redbirds
Connor Boyd,33:48.8,Manitoba Bisons
Louis-Olivier Brassard,33:50.0,Montréal Carabins
Kevin Bates,33:51.5,Ottawa Gee-Gees
Nicolas Gilbert,33:52.4,Université du Québec à Trois-Rivières Les Patriote
Ziyad El Hankouri,33:54.8,Ottawa Gee-Gees
Jonathan Peverill,33:55.4,St. Mary's Huskies
Daniel Fournier,33:56.9,Waterloo Warriors
Jared Welsh,33:57.4,Saskatchewan Huskies
Callum Drever,33:57.6,Dalhousie Tigers
Jeremy Briand,33:59.7,McGill Redbirds
Mathieu Ladouceur,34:01.6,Sherbrooke Vert & Or
Chris Moore,34:02.6,Waterloo Warriors
Dan Hilbers,34:04.2,Wilfrid Laurier Golden Hawks
Guillaume Menard,34:04.7,McGill Redbirds
Louis Bastenier-Boutin,34:07.1,Montréal Carabins
Joel Perera-Satgunem,34:09.3,Ryerson Rams
Mike Rogers,34:11.3,Dalhousie Tigers
Olivier B�land,34:13.1,Sherbrooke Vert & Or
Adam Marshall,34:15.4,Trinity Western Spartans
Mathieu Desmarais,34:15.7,Manitoba Bisons
Brendan Masters,34:17.0,Wilfrid Laurier Golden Hawks
Scott Kohlman,34:18.3,MacEwan Griffins
Rhys Desmond,34:20.0,Waterloo Warriors
Simon Bouthillier,34:20.2,Université du Québec à Trois-Rivières Les Patriote
Bryan Thomas,34:20.6,Moncton Aigles Bleu
Adrian Tsang,34:21.1,Ottawa Gee-Gees
Brendan Gemmell,34:24.2,Dalhousie Tigers
Vincent Forest-Richard,34:27.0,Université du Québec à Trois-Rivières Les Patriote
Gavin Hatheway,34:30.5,Queen's Gaels
Trent Lynds,34:30.8,Dalhousie Tigers
Steve Vincent Farvacque,34:31.7,Montréal Carabins
Simon Berube,34:35.8,Manitoba Bisons
Alexander Bimm,34:38.4,Toronto Varsity Blues
Jason Argouin,34:38.5,Sherbrooke Vert & Or
Nassim Bousmaha,34:41.6,Moncton Aigles Bleu
Marc-Antoine Cr�peau,34:45.8,Sherbrooke Vert & Or
Christian Parenteau,34:49.6,Concordia Stingers
R�mi Poitras,34:50.8,Moncton Aigles Bleu
Philippe Labrecque,35:01.4,McGill Redbirds
Michael Konstantopoulos,35:05.4,Ryerson Rams
Tom Glassco,35:09.9,Ottawa Gee-Gees
Adam Lehners,35:11.2,MacEwan Griffins
Ryan MacDonell,35:17.0,Ottawa Gee-Gees
Mykola Niemtsev,35:20.7,Concordia Stingers
Sebastian Saville,35:22.1,Carleton Ravens
Nick Bedi,35:29.5,Waterloo Warriors
Reid Balezantis,35:32.8,Saskatchewan Huskies
Pier-Luc Roy,35:34.2,Montréal Carabins
Brandon Toal,35:34.8,MacEwan Griffins
Zach Savlov,35:35.9,Wilfrid Laurier Golden Hawks
Benjamin Daunoravicius,35:37.0,Concordia Stingers
Marc Grover,35:40.0,Concordia Stingers
Shane Corley,35:42.9,Waterloo Warriors
Conlan Sprickerhoff,35:47.6,Thompson Rivers Wolfpack
Vincent Tremblay,35:50.3,Université du Québec à Trois-Rivières Les Patriote
Zach Kader,36:01.7,Concordia Stingers
Maximilien Moreau,36:25.8,Université du Québec à Trois-Rivières Les Patriote
Malo Gueguen,36:28.6,Concordia Stingers
Nathan Jeffrey,36:31.5,Wilfrid Laurier Golden Hawks
Sam Kinahan,36:35.1,Toronto Varsity Blues
Olivier Landry,36:53.2,Université du Québec à Trois-Rivières Les Patriote
Jean-Fran�ois Thivierge,36:55.9,Montréal Carabins
Tim Lytle,36:59.4,Wilfrid Laurier Golden Hawks
Kyle Dong,37:02.3,MacEwan Griffins
Natan Muacasso-Shour,37:14.7,Wilfrid Laurier Golden Hawks
Paul Ramsay-Vejlens,37:56.0,Montréal Carabins
Adam Richardson,39:06.8,Waterloo Warriors
Timothy Hunting,40:30.4,Concordia Stingers
Trekk Allan,42:07.6,MacEwan Griffins
