name,time,team
Yves Sikubwabo,30:51.0,Laval Rouge et Or
Declan White,30:56.0,Trinity Western Spartans
Connor Darlington,30:57.9,McMaster Marauders
Kevin Tree,31:01.1,Lakehead Thunderwolves
Antoine Thibeault,31:06.7,Laval Rouge et Or
Alexandre Ricard,31:10.7,Laval Rouge et Or
Corey Bellemore,31:12.0,Windsor Lancers
Joel De Schiffart,31:15.9,Trinity Western Spartans
Jack Sheffar,31:18.6,Western Mustangs
Jeff Tweedle,31:18.7,McMaster Marauders
Christopher Balestrini,31:21.3,Western Mustangs
Ben Carson,31:21.3,Western Mustangs
Adam Strueby,31:22.0,Regina Cougars
Roman Justinen,31:23.5,Calgary Dinos
Shoayb Bascal,31:26.8,Victoria Vikes
Forrest Simpson,31:28.0,Victoria Vikes
Emmanuel Boisvert,31:28.7,Laval Rouge et Or
Alex Ullman,31:32.6,Windsor Lancers
Caleb DeJong,31:34.4,Trinity Western Spartans
Dany Racine,31:35.9,Laval Rouge et Or
Nick Colyn,31:36.4,Trinity Western Spartans
Kieran McDonald,31:36.9,Alberta Golden Bears
Calvin DeWolfe,31:40.1,St. F X
James Milton,31:41.7,Waterloo Warriors
Ryan Grieco,31:42.3,Calgary Dinos
Brayden Seneca,31:43.0,Guelph Gryphons
Eric Wynands,31:44.4,Queen's Gaels
Muhumed Sirage,31:44.6,Western Mustangs
Andrew Nebel,31:49.0,Windsor Lancers
Mark Schmidt,31:49.1,Queen's Gaels
Alex Cyr,31:51.7,St. F X
Craig Klomp,31:52.9,Toronto Varsity Blues
Gabriel Ghiglione,31:53.3,McMaster Marauders
Ben Weir,31:55.0,Victoria Vikes
Benjamin Raymond,32:02.0,Laval Rouge et Or
Cole Peterson,32:02.0,Victoria Vikes
Igor Bougnot,32:02.9,Laval Rouge et Or
Sacha Smart,32:03.9,Toronto Varsity Blues
Samu�l Poher,32:05.8,Calgary Dinos
Daniel Heschuk,32:08.9,Manitoba Bisons
Rob Kanko,32:10.7,Queen's Gaels
Andrew Shepherd,32:11.4,Guelph Gryphons
Evan Yarmuch,32:13.8,Calgary Dinos
Francois Jarry,32:14.1,McGill Redbirds
Millar Coveney,32:15.0,Queen's Gaels
Matt Sheeler,32:15.2,Western Mustangs
James Lam,32:18.3,Trinity Western Spartans
Taylor McArthur,32:19.0,Windsor Lancers
Luke Charbonneau,32:19.7,McMaster Marauders
Josh Dyck,32:20.1,Manitoba Bisons
Shane Roberts,32:20.3,Western Mustangs
Mitchell Ubene,32:21.7,Guelph Gryphons
Santiago Bessai,32:22.9,McGill Redbirds
Robert Lawand,32:26.4,Toronto Varsity Blues
Greg Ord,32:26.9,Calgary Dinos
Nick Kondrat,32:28.4,McMaster Marauders
Mark Patton,32:29.9,Guelph Gryphons
Shawn Master,32:32.3,Windsor Lancers
Jonathan Toombs,32:35.0,Victoria Vikes
Joey Stel,32:35.0,Queen's Gaels
J�r�mie Pellerin,32:35.2,Moncton Aigles Bleu
Alex Berhe,32:36.4,Ottawa Gee-Gees
Scott Donald,32:44.8,St. F X
Angus MacIntosh,32:45.3,Dalhousie Tigers
Jeremy Hick,32:47.7,Windsor Lancers
Benjamin Workman,32:48.1,Guelph Gryphons
Jules Burnotte,32:50.0,Sherbrooke Vert & Or
Royden Radowits,32:52.3,Alberta Golden Bears
Angus Rawling,32:53.3,St. F X
Thomas De Vries,32:54.5,Western Mustangs
