name,time,team
Anjoli Vanderkuur,32:42.1,Western Mustangs
Lauren Kerker,32:44.4,Wilfrid Laurier Golden Hawks
Kaylee Tymo,32:47.6,Regina Cougars
Megan Black,32:48.5,McMaster Marauders
Natalia Bidulka,32:49.0,Saskatchewan Huskies
Hayley Dick,32:51.3,Western Mustangs
Jessica Needham,32:51.8,Dalhousie Tigers
Darbi Edwards,32:52.7,Regina Cougars
Isabella Barreto-Ct,33:06.5,Montréal Carabins
Sydney Neufeld,33:11.8,Saskatchewan Huskies
Evelyne Ouellet,33:15.3,Sherbrooke Vert & Or
Cassandra Mastel-Marr,33:17.7,MacEwan Griffins
Florence Lacasse,33:21.8,Sherbrooke Vert & Or
Dezaray Wapass,33:22.5,Saskatchewan Huskies
Zoe Painter,33:23.1,Thompson Rivers Wolfpack
Alison Schouten,33:23.4,Wilfrid Laurier Golden Hawks
Olivia Ross,33:24.7,Dalhousie Tigers
Sarah Thackeray,33:29.4,Laurentian Voyageurs
Shehzadi Abdul,33:32.8,MacEwan Griffins
Belinda Guerra,33:40.0,Manitoba Bisons
Nicola Odaisky,33:41.9,Manitoba Bisons
Juliette Davies,33:48.6,Toronto Varsity Blues
Mikayla Tinkham,33:49.2,UBC Thunderbirds
Stephanie Wildfong,33:49.9,Wilfrid Laurier Golden Hawks
Sarah Millns,34:02.8,Manitoba Bisons
Jessica Martin,34:08.0,Wilfrid Laurier Golden Hawks
Kendra Murray,34:10.2,Thompson Rivers Wolfpack
Ashley Tymkow,34:11.6,MacEwan Griffins
Hayley Carrescia,34:14.2,Wilfrid Laurier Golden Hawks
Hailey Sharpe,34:20.0,Manitoba Bisons
Sophie Black,34:49.4,Moncton Aigles Bleu
