name,time,team
Hannah Baddin,00:34:13.0,Wilfrid Laurier Golden Hawks
Olivia Karn,00:34:14.3,Toronto Varsity Blues
Katherine Granstrom,00:34:19.1,Waterloo Warriors
Maddy Smart-Reed,00:34:40.2,Queen's Gaels
Ria Jayaram,00:34:40.5,Waterloo Warriors
Sandrine Marin,00:34:43.9,Sherbrooke Vert & Or
Mary Tennant,00:35:09.2,Wilfrid Laurier Golden Hawks
Audrey Rieckenberg,00:35:17.9,Wilfrid Laurier Golden Hawks
Madeline Ramsden,00:35:56.6,Toronto Varsity Blues
Piper Lafayette,00:37:46.0,Wilfrid Laurier Golden Hawks
Abby Davis,00:40:45.8,Wilfrid Laurier Golden Hawks
