name,time,team
Jenna Gascho,32:54.92,Wilfrid Laurier Golden Hawks
Anjoli Vanderkuur,32:56.59,Western Mustangs
Jasmin Aggarwal,32:59.22,Toronto Varsity Blues
Belinda Guerra,33:01.45,Manitoba Bisons
Shayna Giesbrecht,33:01.91,Manitoba Bisons
Lindsay Balezantis,33:04.76,Saskatchewan Huskies
Hayley Carescia,33:05.56,Wilfrid Laurier Golden Hawks
Madeleine Nolan,33:08.42,Waterloo Warriors
Madeleine Kennedy,33:09.69,McMaster Marauders
Audrey Laprise,33:10.05,Montréal Carabins
Alexandra McGowan,33:18.03,Waterloo Warriors
Natalia Bidulka,33:20.32,Saskatchewan Huskies
Nicole Sartor,33:20.91,Laurentian Voyageurs
Sehjal Bhargava,33:25.23,Saskatchewan Huskies
Gillian Phillips,33:28.89,Saskatchewan Huskies
Erin Tramley,33:33.85,Manitoba Bisons
Jennifer Shannon,33:35.94,Trinity Western Spartans
Claire Noort,33:39.30,Trinity Western Spartans
Mackenzie Seagram,33:42.23,Acadia
Rachel Lobay,33:54.75,Thompson Rivers Wolfpack
Lauren Kerker,34:13.77,Wilfrid Laurier Golden Hawks
Kate Scallion,34:31.37,Dalhousie Tigers
Jocelyn Leffers,34:52.52,MacEwan Griffins
Zoe Painter,34:53.80,Thompson Rivers Wolfpack
Olivia Chadwick,35:07.96,Saskatchewan Huskies
Emily Atherton,35:27.28,Thompson Rivers Wolfpack
