name,time,team,points
Russell Pearson,27:24.5,UBCO Heat,
Andrew Weinkauf,27:25.6,Alberta Golden Bears,101
Jacob Mclean,27:26.4,Toronto Varsity Blues,102
Brandon Cidade,27:28.9,York Lions,103
Justin Sanders,27:31.8,Western Mustangs,104
Jack Djondric-Powell,27:34.6,Toronto Varsity Blues,105
Liam Dwyer,27:37.0,UBC Thunderbirds,106
Chris Crowe,27:39.7,UBCO Heat,
Charles Grimard,27:41.9,Sherbrooke Vert & Or,107
Sam Richter,27:43.9,UNB Reds,108
Alexander Brandt-Ganding,27:44.8,Manitoba Bisons,109
Hillary Yego,27:44.9,Trinity Western Spartans,110
Matthew Cornect,27:47.2,Alberta Golden Bears,111
Teagan Scott,27:48.6,St. Mary's Huskies,
Andrew Taylor,27:49.6,Windsor Lancers,112
Louis-Simon Guite,27:49.9,Montréal Carabins,113
Kinley Cross Child,27:51.4,Saskatchewan Huskies,114
Joseph Dick,27:55.3,Brock Badgers,115
Evan Andrin,27:56.1,Alberta Golden Bears,116
Marco Volpi,27:57.5,York Lions,117
Brandon Radey,27:58.6,Laurentian Voyageurs,
Loic Demarbre,27:59.5,Montréal Carabins,118
Andrew Lupenette,28:02.3,St. F X,119
Brayden Degrace,28:04.0,Windsor Lancers,120
Joseph Stewart,28:07.5,St. Mary's Huskies,
Alexis Dufour,28:08.0,UQAC Inuk,
Jayvin Cross Child,28:09.5,Saskatchewan Huskies,121
Phillip Costa,28:14.5,York Lions,122
Andrew Gunnink,28:17.2,Trinity Western Spartans,123
Ethan Graves,28:23.2,Windsor Lancers,124
Thomas Williams,28:27.8,Alberta Golden Bears,125
Marco Di Felice,28:34.3,Brock Badgers,126
Garrett Wager,28:35.6,Brock Badgers,127
Angel Tenorio,28:40.5,Saskatchewan Huskies,128
Redding Maxwell,28:53.8,Brock Badgers,129
Evan James,28:58.1,Saskatchewan Huskies,130
Oliver Waddington,29:11.2,York Lions,131
Riley Coles,29:13.8,Brock Badgers,132
David Akerman,31:16.6,York Lions,133
Arthur Fernandez,33:26.8,York Lions,134
