time,name,team
0:26:02,Calvin Reimer,Manitoba Bisons
0:26:04,Elijah Bayne,UNB Reds
0:26:04,Aidan Small,UBCO Heat
0:26:05,Christopher Crowe,UBCO Heat
0:26:05,Henry Sharp,Regina Cougars
0:26:05,Adam Huras,Waterloo Warriors
0:26:06,Jonathan Lysack,Waterloo Warriors
0:26:14,Morgan Kilgour,Regina Cougars
0:26:15,Jonah Leppelmann,Manitoba Bisons
0:26:15,Brendan O'Brien,Trinity Western Spartans
0:26:16,Conlan Mackenzie,St. F X
0:26:27,Alejandro Civetta,Manitoba Bisons
0:26:31,Kinley Cross Child,Saskatchewan Huskies
0:26:37,Joel Worman,UBCO Heat
0:26:41,Yannick Dupuis,Moncton Aigles Bleu
0:26:49,Benji Dueck,UPEI Panthers
0:27:02,Connor Hickling,Waterloo Warriors
0:27:15,Trent Wilson,Lakehead Thunderwolves
0:27:32,Ryan Macdonald,UPEI Panthers
0:27:40,Jacob Dalton,UPEI Panthers
0:27:50,Baleyon Wolfe,UPEI Panthers
0:28:09,Campbell Brown,UPEI Panthers
0:28:20,Max Macisaac,UPEI Panthers
