name,time,team,points
Eily Woodman,31:33.3,Nipissing Lakers,
George Legler,31:37.6,Nipissing Lakers,
Arthur Fernandes,31:48.6,York Lions,78
Jaeden Jaeden,31:50.6,Toronto Varsity Blues,
Toluwani Adebajo,31:54.7,York Lions,79
Andrew Batek,31:58.1,Waterloo Warriors,
Holden Lamont,32:05.6,Wilfrid Laurier Golden Hawks,
Alan Wilkin,32:26.3,Laurentian Voyageurs,80
Wyatt Knockleby,32:58.3,Trent Excalibur,
Cezar Hirsescu,33:08.9,Wilfrid Laurier Golden Hawks,
Patrick Wiss,33:46.9,Laurentian Voyageurs,
Nolan Kenny,34:04.3,Nipissing Lakers,
Jack Lazear,34:28.8,Wilfrid Laurier Golden Hawks,
Ashwin Dileepan,34:29.0,York Lions,81
Carter Myles,36:32.5,Trent Excalibur,
